platform,title,text,rating,author,date,url,scraped_at,metadata
play_store,,very nice app,4,ONYEDIKA KENE,2026-06-19 17:50:15,,2026-06-20T12:25:27.877902+00:00,"{'review_id': '27c9ac46-9224-46a0-aec4-cc5f3645f38b', 'thumbs_up': 0, 'app_version': '9.1.52.1394'}"
play_store,,"it keeps on reminding me that my premium plan is paused and asks me if i don't wanna renew it, that pop up even stops my music as it's playing",1,Lyric Axe,2026-06-19 17:49:55,,2026-06-20T12:25:27.877915+00:00,"{'review_id': '9554a7a6-9a56-4482-b060-dd91b7605a52', 'thumbs_up': 0, 'app_version': '9.1.36.1948'}"
play_store,,Great 👍,5,Akshaya Rajput,2026-06-19 17:41:59,,2026-06-20T12:25:27.877920+00:00,"{'review_id': 'e8306969-207f-4414-9ccc-ddc91575ee0e', 'thumbs_up': 0, 'app_version': '9.1.52.1394'}"
play_store,,"Best music streaming app hands down. I've used Premium for years and it's 1000% worth it, especially if you have a friend or family plan.",5,Owl Flix,2026-06-19 17:41:49,,2026-06-20T12:25:27.877924+00:00,"{'review_id': '9f1545d6-a847-48e1-b94d-e65c1b18b20c', 'thumbs_up': 0, 'app_version': None}"
play_store,,Best experience ever,5,Tshimoloho Chabeli,2026-06-19 17:41:44,,2026-06-20T12:25:27.877927+00:00,"{'review_id': 'ce94577d-44b0-4587-ae3a-324498ff60da', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,"if you all STOP RISING YOUR PRICES you all would probably get 5 stars 9.99USD was perfect. Greed is addictive isn't it??? Stop with all the ads you all blew it,fumble,drop it all with prices rise so no I'm not going to to subscribe back to you guys!!!!!!!!!",1,Marc Hu Minor,2026-06-19 17:40:54,,2026-06-20T12:25:27.877930+00:00,"{'review_id': '3b2daec6-4ad3-461f-ab90-680ae242438d', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,absolute trash,1,Shristi Khaiwal,2026-06-19 17:39:32,,2026-06-20T12:25:27.877952+00:00,"{'review_id': '00f00641-ec79-4694-9657-5857a03cdbd3', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,good service,4,Pravin Kumar,2026-06-19 17:38:07,,2026-06-20T12:25:27.877955+00:00,"{'review_id': 'bd32a893-8b00-4ed7-897b-2e2033ec8920', 'thumbs_up': 0, 'app_version': '9.1.52.1394'}"
play_store,,"The new widget sucks. Never works, always buffering. Bring back the old one.",2,Brian Gallagher,2026-06-19 17:36:30,,2026-06-20T12:25:27.877958+00:00,"{'review_id': '42ae5370-7d0c-4f6e-9b9a-ac24bddc0197', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,"when I want to hear music, the only one thing that satisfies it is Spotify. it's more like Spotify is music and music is spotify",5,Aashritha Sreeja K,2026-06-19 17:35:59,,2026-06-20T12:25:27.877961+00:00,"{'review_id': '3311ecdb-57aa-4f6a-9a1a-0cf9b9f71f5a', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,I like its promotions very much,5,Amit Mishra,2026-06-19 17:35:53,,2026-06-20T12:25:27.877964+00:00,"{'review_id': '284d96a2-d016-4960-82d4-228ac3583367', 'thumbs_up': 0, 'app_version': '8.9.84.594'}"
play_store,,Amazing music app with non stop vibes... love it,5,Wisdom Wosu,2026-06-19 17:35:03,,2026-06-20T12:25:27.878094+00:00,"{'review_id': '9378ab65-7244-4522-8330-7f519409be3d', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,good,5,Revu,2026-06-19 17:31:39,,2026-06-20T12:25:27.878097+00:00,"{'review_id': '3e16cfa9-eaa9-43a0-ab6d-f737e7781352', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,Update to widget broke it entirely. No longer opens the app. Worse functionality than replaced widget.,1,John Moosemiller,2026-06-19 17:31:18,,2026-06-20T12:25:27.878100+00:00,"{'review_id': '58dbb515-2ca9-4c6b-9773-c297111b1f43', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,very good,5,Erol Tebatso Segwapa,2026-06-19 17:31:04,,2026-06-20T12:25:27.878103+00:00,"{'review_id': '1e86970d-99c1-46f1-bdd1-f1daa973cb3b', 'thumbs_up': 0, 'app_version': None}"
