source,author,date_relative,comment_text,likes,reply_count
YouTube,mattyballz,7 months ago,what streaming service do you guys use? i like apple music but youtube music is clutch for those unreleased songs haha,1200,193
YouTube,internettrash5120,7 months ago (edited),spotify still hasn't fixed their shuffle. I'm tempted to remove songs off my playlists because shuffle overplays them that it gets annoying to listen to,8300,209
YouTube,vq_isaac,7 months ago,There will be days where my Spotify shuffles my playlist in the same exact order,1600,14
YouTube,Zonder69,7 months ago,"Soundcloud is aware of people leaving Spotify and they allow you to transfer your playlists to soundcloud, thank god",6000,74
YouTube,aDeprivedSeal,7 months ago,"I love having dozens of songs that ""arent available in my region"" but also not being able to remove those songs, and my shuffle giving me the exact same shuffle every time,",2800,12
YouTube,r4zzbrry,7 months ago,"The shuffle is atrocious. Not only does it overplay songs, sometimes it just starts playing songs that aren't even from your playlist 😭",2700,40
YouTube,gagato92,7 months ago,I have 1472 songs and i can attest that the same 20 play,1600,10
YouTube,Hardcore_Wizard,6 months ago,"It's the shuffle. I've got a playlist with 500 or so songs and I shuffle it daily walking to work, I scrolled through it recently and found songs I genuinely haven't heard in several months, got the whole playlist downloaded too, really does feel like there's some conspiracy where certain bands/artists get preferential treatment in the shuffle.",153,2
YouTube,abbskebabs6288,7 months ago,Honestly the only thing keeping me on Spotify is all the playlists I created myself. I really don't want to painstakingly remake all those playlists,956,27
YouTube,writerartist6306,7 months ago,"Feeling so validated that I listen to music on YouTube, lol. And people post underground/unofficial releases from artists so it's not as limiting as only listening to music from the labels.",864,12
YouTube,carsoncox4753,7 months ago,the shuffle on spotify is atrocious… ruined so many songs for me because its all it would play,235,3
YouTube,Sirgoofinshmirtz,7 months ago,When the Drake and Kendrick stuff went on I swear my shuffle kept pushing drake songs from his first few albums. Like 'hey remember the good times we had',440,
YouTube,S1LENCE-f6l,1 month ago,I was listening to some music on spotify and immediately after the song it was playing an ad.normal right?(I don't have premium) but when I ready how many ads it was….. it was 7 ads and each ad is 30 seconds long . And Spotify doesn't even let me play songs ON MY OWN PERSONAL PLAYLISTS. Gosh. Spotify sucks.🤦‍♀️👎,2,
YouTube,todddouglas7231,7 months ago,"I haven't yet left Spotify, but I might be getting there sometime in the near future. I have a decade's worth of over 100 carefully curated playlists, including one that is a timeline of my life in music form; all music I've ever listened to put in the exact order it came to me throughout my life. I know it sounds silly, but it means alot to me to see the dates I added them to the playlist on the side; seeing 'added dec 2014' feels monumental to me. All that being said, alot of artists I love have left the platform, most recently the black metal band Panopticon, and if more continue to do so it might push me away officially.",223,18
YouTube,furveus,7 months ago (edited),"Taking down our music after we got playlisted by an AI scam company that we even reported and never submitted anything to, was certainly a big reason we dislike spotify. Oh and btw, each takedown costs YOU money. So you have to pay spotify for getting botted unconsensually and lose your music off of SP's.",277,7
YouTube,KRAMITDFROG,7 months ago,"What's stupid about the idea of playing in the background is that's exactly what people did with radio.  So, why did they change everything again?",6,
YouTube,stoneinrock,7 months ago,"the one thing with spotify, is that 1. they allow artist with major label deal get an automatic surfacing, curated playlist, editorial listing. i have advisor confess this in my conversations. 2. they also do stream masking i have proof of this when i upload a track and it took off on youtube getting 150+ views with a retention rate very high, under 2 days, but spotify was showing zero across the board. when i show this within next day the stats showed like 60+ listeners or streams, but all from netherlands, i.e. masking streams.",4,
YouTube,Edensmajesty,7 months ago,I'm a small artist. I create electronic music. YouTube is definitely my app of choice for posting my music. Stuff just gets lost in the blackhole of Spotify. My audience and views have always been better on YouTube!,92,1
YouTube,MAFunnyVideo.,7 months ago,"I've been promoting my music through Rumora, and honestly, it's refreshing to see real engagement instead of the typical ad nonsense. Spotify's issues just made me realize how important that is.",50,
YouTube,btk.1207,7 months ago,"I just use YouTube premium for everything. It's under rated bc you can find pretty much any song ever. You can make playlists, no ads, find lyric videos, close your phone and still listen, skip songs etc. Pretty much like any platform but you also get regular YouTube ad free.",129,4
YouTube,kbuuns,7 months ago,"I was listening to King Von and a song I didn't recognize started playing and the dude was dissing Von and his friends. They kept the song title the same and changed the artwork. A couple other times Travis Scott songs were replaced with some sorta of synth instrumental. And my playlists are always trying to play ""recommended for you"" while on shuffle even when smart playlist is turned off.",16,
